job_number,job_name
0902,43 Rimu Street
0901,1C Dawson Drive
0883,41 Rimu Street
0897,Te Ara a Hinera Hamurana
0893,Utuhina Reservoir
0886,43a&b Operiana Street
0885,Luke Place
0909,31 Ngongotaha Rd
0887,1356A Pukuatua Street
0882,33 Gem Street
0908,39 Pukatea Cres
0907,54 Bell Road
0847,8 Pretoria Street
0892,10 King Street
0888,268 Ngongotaha Rd
0903,Hinemoa Street
0904,1415 Amohia Street
0894,65 Martin Street
0873,38A Turner Rd
0870,403 & 415 Pukehangi Rd
0869,Arawa Carpark
0867,26 Sequoia Cres
0866,50 Browning Cres
0881,40 Kaska
0884,18 Alastair Ave
0889,22 Fenruss Place
0890,55 Mokoia Rd
0896,9 Alice Place
0900,67 Malfroy Rd
